seed,frame,n_obs,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg,stream_full_rmse,stream_full_mag_err,stream_full_ang_err_deg,divergentunet_rmse,divergentunet_mag_err,divergentunet_ang_err_deg,unconstrained_rmse,unconstrained_mag_err,unconstrained_ang_err_deg,linstream_rmse,linstream_mag_err,linstream_ang_err_deg
0,14053,136,0.059755736379382314,0.03111366368830204,58.80237579345703,0.035491692404839334,0.024901507422327995,28.77181625366211,0.03462808001168247,0.02582811750471592,25.447465896606445,0.057336175332774554,0.031394653022289276,57.68333053588867,0.04956319618828117,0.03657207265496254,36.79052734375,0.06026631078445058,0.029507549479603767,44.99854278564453
1,9194,143,0.04805391439883526,0.04735122248530388,15.20911693572998,0.02717280463629928,0.02373523823916912,14.367271423339844,0.054406466072881667,0.03140411898493767,24.641836166381836,0.057423810588635396,0.049419090151786804,19.65199851989746,0.0655841842304176,0.06645230203866959,18.34052276611328,0.037589856477576865,0.03080008178949356,13.807304382324219
2,14031,136,0.08808009446819826,0.08837136626243591,21.20374870300293,0.02746651863620857,0.014975756406784058,16.18258285522461,0.06568171109170974,0.03521347418427467,39.354087829589844,0.062419903494588265,0.05940264090895653,15.82399845123291,0.08415231585571013,0.07460417598485947,32.57075881958008,0.05400984018175686,0.034871529787778854,24.064146041870117
3,13987,143,0.07720418795921702,0.03617125004529953,56.86293029785156,0.04889991545450716,0.036367230117321014,37.60022735595703,0.05981422117102403,0.04066435620188713,49.254764556884766,0.07215316789058937,0.033999003469944,59.66254806518555,0.09021372454310561,0.04940136894583702,54.907772064208984,0.0614113246159945,0.03695450723171234,47.40224075317383
4,13844,140,0.09094398898379222,0.0434521809220314,48.307498931884766,0.047528438994589056,0.03429972752928734,25.041738510131836,0.047345004013111154,0.02578892931342125,30.872793197631836,0.069635933133324,0.02809634618461132,40.56098556518555,0.08013429002285472,0.0602044016122818,51.11949920654297,0.06450861399319212,0.03949936851859093,35.21192932128906
5,11638,138,0.1264217201944084,0.047219451516866684,48.5145263671875,0.03818072977585044,0.03580367565155029,8.610751152038574,0.05730114171436775,0.03973652049899101,22.059494018554688,0.10605749114775417,0.03355841338634491,34.50374221801758,0.06786737073212601,0.05529903620481491,21.4654483795166,0.09880026821266871,0.04840982332825661,44.9076042175293
6,9147,132,0.08279254216942993,0.0670318454504013,73.83805084228516,0.0486763866583997,0.041306063532829285,14.846915245056152,0.04766216199048889,0.04214124009013176,22.105600357055664,0.08549402263551312,0.07178546488285065,59.832462310791016,0.06381719645787648,0.03956473618745804,38.800514221191406,0.08608212672711446,0.05809732526540756,37.124691009521484
7,16323,131,0.13059951653274215,0.119638592004776,34.29929733276367,0.052281035213644335,0.03281063213944435,33.445926666259766,0.11687812188893489,0.08369923382997513,53.07244110107422,0.10456307232147714,0.08896848559379578,34.003700256347656,0.058929321060609746,0.03890226036310196,39.26063919067383,0.0651343015290385,0.04144567996263504,32.474342346191406
8,13832,139,0.08907591671993884,0.06272577494382858,51.148719787597656,0.07503343724398451,0.06872878968715668,25.636821746826172,0.0742963086874356,0.054345037788152695,46.7457275390625,0.08296644098585865,0.07321936637163162,41.87614822387695,0.08721260777011938,0.057465679943561554,44.70043182373047,0.09795386595928857,0.052225541323423386,54.158206939697266
9,6996,138,0.06077292730685869,0.047233764082193375,19.809921264648438,0.037924527753207614,0.024655809625983238,18.97733497619629,0.07624140597854082,0.036627888679504395,51.04917526245117,0.05139041497624258,0.04109232872724533,19.476943969726562,0.06813044679693118,0.04523950070142746,33.808616638183594,0.07283024357120575,0.029870543628931046,45.15144348144531
10,13928,129,0.059982104241997077,0.04447084665298462,42.767921447753906,0.04655411582881114,0.04390501230955124,24.07613754272461,0.05094539072893671,0.038244184106588364,36.04320526123047,0.05251571392283466,0.04818768426775932,29.449493408203125,0.06069282535599056,0.05276070162653923,35.30967712402344,0.07153699596992395,0.047948144376277924,45.67540740966797
