seed,frame,n_obs,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg,stream_rmse,stream_mag_err,stream_ang_err_deg,stream_full_rmse,stream_full_mag_err,stream_full_ang_err_deg
0,14053,136,0.059755736379382314,0.03111366368830204,58.80237579345703,0.035491692404839334,0.024901507422327995,28.77181625366211,0.03524631830809604,0.022780893370509148,29.693946838378906,0.03462808001168247,0.02582811750471592,25.447465896606445
1,9194,143,0.04805391439883526,0.04735122248530388,15.20911693572998,0.02717280463629928,0.02373523823916912,14.367271423339844,0.06556610408239302,0.05678926035761833,26.924758911132812,0.054406466072881667,0.03140411898493767,24.641836166381836
2,14031,136,0.08808009446819826,0.08837136626243591,21.20374870300293,0.02746651863620857,0.014975756406784058,16.18258285522461,0.07573559164729206,0.036591675132513046,44.5814094543457,0.06568171109170974,0.03521347418427467,39.354087829589844
3,13987,143,0.07720418795921702,0.03617125004529953,56.86293029785156,0.04889991545450716,0.036367230117321014,37.60022735595703,0.0627566824269693,0.03502207249403,56.72157669067383,0.05981422117102403,0.04066435620188713,49.254764556884766
4,13844,140,0.09094398898379222,0.0434521809220314,48.307498931884766,0.047528438994589056,0.03429972752928734,25.041738510131836,0.05440448960378801,0.030351558700203896,36.16240692138672,0.047345004013111154,0.02578892931342125,30.872793197631836
5,11638,138,0.1264217201944084,0.047219451516866684,48.5145263671875,0.03818072977585044,0.03580367565155029,8.610751152038574,0.05802638302051105,0.04072389006614685,22.23432731628418,0.05730114171436775,0.03973652049899101,22.059494018554688
6,9147,132,0.08279254216942993,0.0670318454504013,73.83805084228516,0.0486763866583997,0.041306063532829285,14.846915245056152,0.05736652137388064,0.0524616502225399,32.5487174987793,0.04766216199048889,0.04214124009013176,22.105600357055664
7,16323,131,0.13059951653274215,0.119638592004776,34.29929733276367,0.052281035213644335,0.03281063213944435,33.445926666259766,0.13524214904172824,0.09814354032278061,56.3773193359375,0.11687812188893489,0.08369923382997513,53.07244110107422
8,13832,139,0.08907591671993884,0.06272577494382858,51.148719787597656,0.07503343724398451,0.06872878968715668,25.636821746826172,0.0767194919649465,0.054858725517988205,46.78895568847656,0.0742963086874356,0.054345037788152695,46.7457275390625
9,6996,138,0.06077292730685869,0.047233764082193375,19.809921264648438,0.037924527753207614,0.024655809625983238,18.97733497619629,0.09559425674416397,0.042517680674791336,60.421875,0.07624140597854082,0.036627888679504395,51.04917526245117
10,13928,129,0.059982104241997077,0.04447084665298462,42.767921447753906,0.04655411582881114,0.04390501230955124,24.07613754272461,0.05184079303375648,0.037796009331941605,37.68031311035156,0.05094539072893671,0.038244184106588364,36.04320526123047
11,2288,139,0.058988727673036534,0.055058691650629044,17.2960147857666,0.02490681945518087,0.015325967222452164,13.626649856567383,0.07041909954195591,0.06019219756126404,28.975872039794922,0.053506028089080206,0.034532275050878525,25.25965118408203
12,11541,125,0.16026063540571955,0.03869917243719101,84.50601959228516,0.10816322693642075,0.06578397005796432,86.43852233886719,0.06184569729345303,0.05453968048095703,27.99559211730957,0.07236158736395633,0.06042034924030304,33.9796257019043
13,16241,144,0.09199832109814077,0.04311379790306091,50.400386810302734,0.050352652685969626,0.03576840087771416,23.289724349975586,0.07571281460983444,0.03660761937499046,43.485504150390625,0.06510596702039903,0.035533320158720016,34.90363693237305
14,4428,123,0.19111292439890512,0.16503670811653137,102.57166290283203,0.08698235300435883,0.08803712576627731,15.253196716308594,0.10894585981483931,0.11132090538740158,29.36447525024414,0.09842288144217357,0.10062804073095322,24.314586639404297
15,16300,129,0.09262364339962169,0.08462189882993698,26.538848876953125,0.054693794485436445,0.039943844079971313,24.390361785888672,0.09218198683075779,0.07379092276096344,33.32910919189453,0.07879832671097561,0.06122985854744911,29.867637634277344
16,9304,131,0.22658659644288348,0.2146008312702179,36.230953216552734,0.054460668327088214,0.03658396750688553,14.899096488952637,0.10549105837235177,0.08104009926319122,32.75267028808594,0.08668649939177737,0.04784822463989258,27.442590713500977
17,13868,139,0.07254513380471837,0.048323679715394974,56.75275802612305,0.06097049971436331,0.048440225422382355,40.316856384277344,0.062721070983633,0.04254208132624626,55.339969635009766,0.05863100500531838,0.03975675627589226,49.2038459777832
18,16237,117,0.11245273532568276,0.1056235134601593,38.4256706237793,0.06946278726517748,0.060502611100673676,30.904335021972656,0.08652908006312329,0.055334411561489105,35.909915924072266,0.07328892827685016,0.043105240911245346,28.934762954711914
19,11501,144,0.06763874684634646,0.0514625646173954,31.7627010345459,0.02093218959102489,0.01833326369524002,10.982287406921387,0.07453038253298913,0.06137092038989067,32.9249382019043,0.05517674940375796,0.03678854554891586,26.306690216064453
20,16234,134,0.15143536772929103,0.08706402778625488,40.772666931152344,0.06142325849759199,0.05116397142410278,19.389524459838867,0.08243780361546359,0.05441246181726456,27.723026275634766,0.07954282313671027,0.0596802644431591,24.33497428894043
21,6794,135,0.042310821259371995,0.02963530644774437,55.452144622802734,0.0502149161999351,0.03097549080848694,53.298851013183594,0.03193672540458775,0.018849069252610207,51.07261276245117,0.042175128731094275,0.024029921740293503,52.76142501831055
22,13919,145,0.14542683276645332,0.05590527877211571,56.12175369262695,0.05003936221478692,0.0453483946621418,11.817583084106445,0.066972140152159,0.06251458078622818,19.596845626831055,0.0659012665356255,0.06261876970529556,19.930171966552734
23,2124,140,0.08435807017714415,0.03931236267089844,51.049964904785156,0.026223446140413206,0.022086672484874725,16.712831497192383,0.06519434834702367,0.04494069889187813,46.61522674560547,0.05587974392137801,0.03214707225561142,38.917396545410156
24,6930,141,0.07699893069818202,0.060096289962530136,30.210147857666016,0.041090198964247926,0.02618514932692051,19.76485252380371,0.06649720147766783,0.04122509807348251,34.51597595214844,0.06599220420714508,0.036361388862133026,33.49153518676758
