seed,frame,n_obs,n_ang_cells,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg
0,1671,138,3726,0.15218891214097158,0.14139169756632575,33.12097050558463,0.08528183929651952,0.07351119814509209,13.501082817026191
1,929,130,3672,0.12856184877390628,0.08856743734892238,40.81008916229781,0.05246338036183003,0.038965048894341776,14.728215629627844
2,1645,145,3687,0.056800818698285065,0.04752928185395202,26.81797958149335,0.04237236315440777,0.03392114595049851,15.94429850698795
3,1594,143,3687,0.12572186088271536,0.07698483558054374,40.956775008862074,0.06639267464948569,0.04860764883659944,32.529008172517315
4,1427,118,3619,0.11036200238469308,0.06371518996373356,78.78734623282143,0.10394893437581394,0.06640207824375613,76.48968582763291
5,1318,139,3492,0.12703075147610465,0.07287071955334845,31.853799004621155,0.04334145842621666,0.027829561042383544,21.933270293769972
6,874,131,3637,0.10827199129869818,0.03398759730034403,79.26842491784038,0.07906633594839094,0.044868218434013056,71.53626612796482
7,1856,109,3427,0.036986358213463036,0.030109874272797144,34.93719492350695,0.030073919083160455,0.028909957892366358,17.98733307610256
8,1413,138,3490,0.06944732806614398,0.038258086864227145,60.63211260237857,0.03847168886545566,0.023882169615151085,30.30294874741067
9,828,138,3680,0.11642948177229064,0.10594522936478123,35.802430370119495,0.05057479345738334,0.04808088086145337,13.447599016572392
10,1525,114,3672,0.1607485078184071,0.06904146392457083,108.06462619055719,0.04590301228050402,0.03156713870487728,21.756632810908105
11,262,135,3559,0.06277494850626254,0.041687935046458714,35.53861544354619,0.030528020898055064,0.024471097565637243,17.346977678209175
12,1203,125,3342,0.07243123663011905,0.04331499616879777,64.07678977965851,0.04880990244036163,0.02621004239594813,56.56712587711284
13,1760,141,3687,0.10978882653941345,0.07130655290008724,45.426563247456336,0.10026983607531649,0.08644805668158029,31.0348976363309
14,295,135,3675,0.07280207089984522,0.05464258552235234,24.855168791410083,0.02979845999581638,0.020673770623304628,8.734163434213643
15,1829,141,3679,0.16510533370098252,0.09498313010449012,48.517079924075624,0.1490461929173899,0.143904987529741,40.086469634135774
16,1058,138,3653,0.06413176827754642,0.04027677641821487,38.15918997527704,0.04017884954563995,0.04142289696339433,12.052669200558697
17,1455,134,3370,0.05822109953097409,0.03105940920241885,97.66479576256963,0.0363775625272268,0.028838171875511253,53.42112583814127
18,1755,128,3697,0.09395591101840592,0.07371601824467107,38.721304823845145,0.05398055904289377,0.05036678010480631,11.244453222987175
19,1157,146,3515,0.0613959029163137,0.0375222456469295,29.677945712299426,0.03238465457754349,0.023560234882116136,22.891356692597277
20,1753,139,3624,0.07915905533289723,0.035389649078851934,53.48745387351696,0.044717571528504634,0.03409713071114258,27.88317814678975
21,592,133,3691,0.08734391731437531,0.07786953189864255,34.37845132263012,0.03749612802304699,0.024394519916047637,14.65487696536402
22,1515,132,3613,0.12176841599779223,0.04900930714838392,58.34141232999803,0.07213596337657002,0.0489242726312371,36.8563791402928
23,70,140,3689,0.08345871514952365,0.05016205287249945,27.91481701155209,0.026862492082757587,0.026771424804535284,5.558626067203604
24,751,142,3522,0.05203409459428463,0.028470560117149473,45.409653952111576,0.036479934884827966,0.029035143904449015,28.305972800286515
25,990,132,3577,0.19657250216077765,0.1971694996300399,96.20039746276991,0.08509153082667875,0.09267168676718561,10.208289650412537
26,1693,102,3664,0.14377162276357952,0.11717573861062607,99.84799359688903,0.08638475503115721,0.055255971253080606,30.552203773736068
27,5,131,3644,0.04310338467395037,0.021886682966394375,22.30268820960758,0.026621022186591282,0.02609313834093379,11.168446934292884
28,1309,129,3681,0.09822597942449444,0.08796931398609367,61.749643740501156,0.06258404378786886,0.04177556867517716,19.43082183783537
